净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,purchase_comments,purchase_days,purchase_days_2,redeem_comments,redeem_days,redeem_days_2,benchmark_name,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2023-04-12,1.0425,1.0921,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.157509157509125e-05,0.011859538589827912,0.0,7.557509157509125e-05,120.2239990234375,-0.0009492329169547009,4.7286116032835054e-05,118.85278805541992,0.09423996592963207,-0.12653543822634353,0,0.0,-0.0,3.0161204412726476e-05,1.6136512565984993,73.24,23.28,26.36,22.97,0.007949482511882867,0.0150153772272445,0.01926101158526508
2023-04-13,1.0424,1.092,-0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-9.15667063455805e-05,0.01195440644982071,0.0,-0.0001075667063455805,120.25399780273438,-0.00034109075762123187,4.7661070369316775e-05,118.86553604125976,0.09501355038727033,-0.132891791150081,0,0.0,-0.009156670634556274,2.999470849802148e-05,1.6094950125134015,73.24,23.28,26.18,22.61,0.007947281197229192,0.014969445106176215,0.019204963141502635
2023-04-14,1.0424,1.092,0.00%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.011860637509267358,0.0,-1.6e-05,120.19400024414062,0.0004989236091108573,4.729039109955524e-05,118.87761602783203,0.0942744334429605,-0.1267166835434371,0,0.0,-0.009156670634556274,3.154343245806245e-05,1.6088041710041432,73.24,23.28,26.04,22.7,0.007947294553275537,0.014957538120625733,0.019197412584647976
2023-04-17,1.0421,1.0917,-0.03%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-0.0002747252747254958,0.011582653817643784,0.0,-0.0002907252747254958,120.18599700927734,-0.00020813929832874667,4.619149000065326e-05,118.88938803100586,0.09200980263290084,-0.12363719648990155,0,0.0,-0.03662668253824542,2.7770200054278434e-05,1.6088761649343974,73.24,23.28,26.22,22.58,0.007953681712062927,0.014932651500374025,0.01919193122777672
2023-04-18,1.0424,1.092,0.03%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.00027480076944241816,0.01186063750926758,0.0,0.00025880076944241815,120.21399688720703,4.182955294096402e-05,4.729069307842293e-05,118.90032400512695,0.09416210425994215,-0.11948243185371807,0,0.0,-0.009156670634556274,2.117492110524147e-05,1.6085244690973357,73.24,23.28,26.22,22.88,0.007956825960785166,0.01490806263971886,0.019095229480433053
2023-04-19,1.0426,1.0922,0.02%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0001831501831501825,0.012045959970349962,0.0,0.0001671501831501825,120.33000183105469,-0.0007818368138008402,4.802329381102366e-05,118.91204000854492,0.09560861546472697,-0.11870843802556717,0,0.0,-0.0,2.2527744382979084e-05,1.606553108915124,73.24,23.28,26.4,22.88,0.007957840862504605,0.014897590716247555,0.019099553538923834
2023-04-20,1.0426,1.0922,0.00%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.011858439874002924,0.0,-1.6e-05,120.23899841308594,0.000756282029285793,4.728200396669502e-05,118.92314401245117,0.09414524723285873,-0.11724990992438104,0,0.0,-0.0,2.3020736656580584e-05,1.6082784917649184,73.24,23.28,26.32,22.88,0.007956788422090202,0.014912651357057287,0.019113782992681874
2023-04-21,1.0427,1.0923,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.15583226515082e-05,0.01195108393551858,0.0,7.555832265150821e-05,120.40699768066406,-0.0013056528134638423,4.7648237257301054e-05,118.93528799438477,0.09487470246258856,-0.12429569396653166,0,0.0,-0.0,2.4191995823608916e-05,1.611198940387513,73.24,23.28,26.32,22.97,0.007956768943913839,0.014950582923599917,0.019137646762601736
2023-04-24,1.0429,1.0925,0.02%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.00018309988098508256,0.011948869951835306,0.0,0.00016709988098508255,120.51000213623047,-0.0006723691328640591,4.763948428911613e-05,118.94728799438477,0.0948577235042954,-0.12341902546741253,0,0.0,-0.0,2.6327452625681124e-05,1.6095235178743343,73.24,23.28,26.06,23.07,0.007956731239477212,0.014940398721048647,0.01912181056869078
2023-04-25,1.043,1.0926,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.153318077803618e-05,0.01194776326757574,0.0,7.553318077803619e-05,120.5250015258789,-3.293275053506406e-05,4.7635109416821476e-05,118.95994400024414,0.09484908555959941,-0.11736889969586417,0,0.0,-0.0,3.466321835737411e-05,1.6141035747470949,73.24,23.28,26.12,23.07,0.007956725105920512,0.014866557226314178,0.019072313325309048
2023-04-26,1.0433,1.0929,0.03%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.00027457440966505153,0.012319377547240995,0.0,0.0002585744096650515,120.572998046875,-0.00012365434278005516,4.910388033509738e-05,118.97352798461914,0.09774939163431502,-0.12195152346963943,0,0.0,-0.0,3.3495427610971626e-05,1.6175397618271554,73.24,23.28,26.49,23.07,0.007958699088281364,0.014832845851500166,0.0190001580316662
2023-04-27,1.0439,1.0935,0.06%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0005489980785067239,0.012781328146708848,0.0,0.0005329980785067239,120.66400146484375,-0.0002057597814029144,5.092936505371748e-05,118.98787197875977,0.10118530059431396,-0.11973046097576885,0,0.0,-0.0,3.779660525289523e-05,1.6197653591435586,73.24,23.28,26.63,23.21,0.007974274303872634,0.014819353149555336,0.018986353040484204
2023-04-28,1.044,1.0936,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.144947416550586e-05,0.012780144471201682,0.0,7.544947416550587e-05,120.7490005493164,-0.0006129783870092442,5.092468967076469e-05,119.00323599243164,0.10117608840535613,-0.12115552601466874,0,0.0,-0.0,4.218930315102055e-05,1.613981520178224,73.24,23.28,27.04,23.21,0.007974268254347862,0.014827043560973684,0.01892930102392545
